Gene ID/title,logFC,adj.P.Val,"LEC control, rep1","LEC KSHV 72h, rep1","LEC control, rep2","LEC KSHV 72h, rep2","LEC control, rep3","LEC KSHV 72h, rep3","LEC control, rep4","LEC KSHV 72h, rep4","LEC control, rep5","LEC KSHV 72h, rep5","LEC control, rep6","LEC KSHV 72h, rep6"
100533107///8771,0.41905,0.0067978,9.0455,9.4596,8.9420,9.1965,9.1347,9.1583,9.1631,9.7963,9.1593,9.9135,9.1927,9.6273
89941,-0.15889,0.0067985,8.5886,8.3965,8.5379,8.3825,8.5513,8.3112,8.4748,8.2856,8.4984,8.4276,8.5392,8.4333
10477,-0.17748,0.0068570,11.129,10.861,10.990,10.838,11.026,10.973,11.128,10.831,11.020,10.873,10.940,10.791
5160,-0.16016,0.0069629,9.2618,9.0692,9.1803,8.9520,9.2321,9.0052,9.1570,9.0335,9.1980,9.0957,9.1018,9.0144
7414,-0.18711,0.0069714,8.7495,8.4741,8.7923,8.5749,8.7299,8.5533,8.8282,8.5776,8.6404,8.4700,8.5639,8.5316
4150,0.26303,0.0069868,7.8902,8.2562,8.0469,8.3352,8.0812,8.1425,8.3297,8.4332,8.0904,8.4165,7.9734,8.4064
54946,-0.32448,0.0070359,8.9595,8.4202,8.8582,8.5129,8.9176,8.4207,8.6013,8.2870,8.5773,8.3052,8.3858,8.4068
23421,-0.22761,0.0070624,8.1757,8.0213,8.2245,7.8627,8.1176,7.8668,8.3257,8.0829,8.3801,8.1059,8.1101,8.0283
60314,-0.21115,0.0070866,8.6929,8.4173,8.7259,8.3500,8.5912,8.3423,8.8018,8.5056,8.6198,8.6035,8.5727,8.5187
54778,0.31162,0.0071411,8.5018,8.4806,7.9590,8.4840,8.3870,8.6684,8.3581,8.5546,8.1424,8.4489,8.0385,8.6200
54998,-0.18056,0.0071795,8.0308,7.9272,8.1010,7.9833,8.0621,7.7369,8.0379,7.9120,8.0782,7.9742,8.1545,7.8477
1349,-0.24864,0.0071950,8.0646,7.8254,7.9201,7.6376,8.0097,7.6697,8.1558,7.7863,8.0715,7.9694,8.1575,7.9989
57407,-0.26324,0.0072466,8.4214,8.0672,8.4132,8.1985,8.3765,7.9935,8.1924,7.8564,8.1927,7.9938,8.0553,7.9627
55343,0.17789,0.0072486,7.9477,8.0919,7.8291,8.1399,8.0506,8.0006,7.9169,8.1035,7.9358,8.0779,7.8393,8.1728
23647,-0.19742,0.0072495,9.3859,9.1717,9.3768,9.1371,9.5394,9.3387,9.4742,9.1427,9.4543,9.2797,9.2802,9.2563
10651,-0.16803,0.0072608,9.2940,9.0147,9.1837,9.0112,9.1240,9.0359,9.1394,8.9070,9.0776,9.0124,9.1371,8.9664
6193,-0.18854,0.0072874,13.003,12.783,13.026,12.843,13.037,12.793,13.141,12.960,13.070,13.021,13.150,12.894
